Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/opioid-cds.xml	29407	-	0	0	0	0	0	0	16	21	0	0	0	0	0	0	0	1	0	0	143	198	0	0	0	8	0	2
input/examples/careplan-example-opioidcds.json	288	2	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
input/examples/condition-cancer-diagnosis.json	671	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
input/examples/condition-end-of-life.json	639	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
input/examples/condition-terminal.json	655	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
input/examples/encounter-cancer-diagnosis.json	1277	2	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
input/examples/encounter-oncologist-participant.json	1484	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
input/examples/medicationdispense-ambulatory-opioid.json	1279	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
input/examples/medicationrequest-ambulatory-opioid.json	1614	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
input/examples/medicationrequest-example-opioidcds.json	2136	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
input/examples/observation-example-opioidcds.json	1213	1	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
input/examples/patient-example-opioidcds.json	1054	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
input/examples/practitionerrole-oncology-specialist.json	338	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0
input/examples/requestgroup-example-opioidcds.json	756	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	5	13	0	0	0	0	0	0
input/examples/servicerequest-palliative-care.json	742	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
input/extensions/structuredefinition-data-date-roller-extension.json	3747	2	0	19	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	59	479	0	0	0	3	0	1
input/profiles/structuredefinition-cdc-valueset-clinical-focus.xml	7644	29	0	9	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	23	78	0	0	0	1	0	0
input/profiles/structuredefinition-cdc-valueset-dataelement-scope.xml	7649	16	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	24	81	0	0	0	1	0	0
input/profiles/structuredefinition-cdc-valueset-exclusion-criteria-focus.xml	7652	15	0	8	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	24	72	0	0	0	2	0	0
input/profiles/structuredefinition-cdc-valueset-inclusion-criteria-focus.xml	7652	15	0	9	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	24	68	0	0	0	1	0	0
input/resources/activitydefinition/opioidcds-risk-assessment-request.json	2410	1	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	1	0	0
input/resources/activitydefinition/opioidcds-urine-screening-request-1.json	436	1	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
input/resources/activitydefinition/opioidcds-urine-screening-request-2.json	436	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
input/resources/activitydefinition/opioidcds-urine-screening-request.json	2252	1	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	0	0
input/resources/device/cqf-tooling.json	480	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0
input/resources/library/CDCMMEClinicalConversionFactors.json	301575	4	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	307	38	0	0	0	21	0	1
input/resources/library/ConversionFactors.json	535929	14	0	0	0	0	0	0	2	41	0	0	0	0	0	0	0	0	0	0	535	68	0	0	0	44	0	0
input/resources/library/FHIR-ModelInfo.json	1319	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0
input/resources/library/FHIRHelpers.json	1468181	13	0	0	1	0	0	0	1	17	0	0	0	0	0	0	0	1	0	0	1388	177	0	0	0	78	0	0
input/resources/library/HelloWorld.json	24424	2	0	0	0	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	36	13	0	0	0	2	0	0
input/resources/library/HelloWorldPatientView.json	24493	1	0	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	33	12	0	0	0	2	0	0
input/resources/library/MMECalculator.json	423800	10	0	0	0	0	0	0	2	32	0	0	0	0	0	0	0	0	0	0	415	62	0	0	0	31	0	0
input/resources/library/OMTKData.json	14205189	373	0	0	0	0	0	0	1	71	0	0	0	0	0	0	0	0	0	0	13492	1547	0	0	0	667	0	0
input/resources/library/OMTKData2020.json	17916301	133	0	0	0	0	0	0	1	72	0	0	0	0	0	0	0	0	0	0	17177	1865	0	0	0	962	0	0
input/resources/library/OMTKLogic.json	1279271	24	0	0	1	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	1230	173	0	0	0	90	0	1
input/resources/library/OMTKLogicMK2020.json	924720	8	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	886	120	0	0	0	64	0	0
input/resources/library/OpioidCDSCommon.json	1374831	14	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	1299	165	0	0	0	94	0	0
input/resources/library/OpioidCDSCommonConfig.json	52585	1	0	0	0	0	0	0	2	56	0	0	0	0	0	0	0	0	0	0	64	13	0	0	0	3	0	0
input/resources/library/OpioidCDSREC01.json	57195	1	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	68	12	0	0	0	4	0	0
input/resources/library/OpioidCDSREC02.json	184132	3	0	0	0	0	0	0	2	34	0	0	0	0	0	0	0	0	0	0	191	26	0	0	0	13	0	0
input/resources/library/OpioidCDSREC03.json	65066	1	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	75	14	0	0	0	5	0	0
input/resources/library/OpioidCDSREC04And05.json	90733	2	0	0	1	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	101	17	0	0	0	6	0	1
input/resources/library/OpioidCDSREC06.json	84035	2	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	93	16	0	0	0	9	0	0
input/resources/library/OpioidCDSREC07.json	139766	2	0	0	0	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	152	22	0	0	0	12	0	0
input/resources/library/OpioidCDSREC08.json	50622	1	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	61	13	0	0	0	4	0	0
input/resources/library/OpioidCDSREC09.json	175145	3	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	1	0	0	184	28	0	0	0	14	0	0
input/resources/library/OpioidCDSREC10Common.json	1724427	15	0	0	0	0	0	0	3	152	0	0	0	0	0	0	0	0	0	0	1649	167	0	0	0	122	0	0
input/resources/library/OpioidCDSREC10OrderSign.json	89962	1	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	102	17	0	0	0	7	0	1
input/resources/library/OpioidCDSREC10PatientView.json	138347	2	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	148	21	0	0	0	11	0	0
input/resources/library/OpioidCDSREC11OrderSelect.json	68630	2	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	79	14	0	0	0	5	0	0
input/resources/library/OpioidCDSREC11PatientView.json	40163	2	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	52	11	0	0	0	3	0	0
input/resources/library/OpioidCDSREC12PatientView.json	129345	2	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	137	20	0	0	0	9	0	0
input/resources/library/OpioidCDSRoutines.json	417067	4	0	0	0	0	0	0	1	43	0	0	0	0	0	0	0	1	0	0	422	55	0	0	0	33	0	0
input/resources/parameters/Parameters-manifest.json	216	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	20	15	0	0	0	0	0	1
input/resources/plandefinition/opioidcds-01.json	51158	4	0	0	0	0	0	0	5	27	0	0	0	0	0	0	0	0	0	0	127	73	0	0	0	3	0	0
input/resources/plandefinition/opioidcds-02.json	60005	4	0	0	1	0	0	0	6	26	0	0	0	0	0	0	0	0	0	0	148	64	0	0	0	3	0	1
input/resources/plandefinition/opioidcds-03.json	55104	4	0	0	0	0	0	0	6	25	0	0	0	0	0	0	0	1	0	0	136	61	0	0	0	3	0	1
