Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/opioid-cds.xml	29355	-	0	0	0	0	0	0	10	11	0	0	0	0	0	0	0	1	0	0	188	200	0	0	0	6	0	4
input/examples/careplan-example-opioidcds.json	288	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
input/examples/condition-cancer-diagnosis.json	671	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
input/examples/condition-end-of-life.json	639	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
input/examples/condition-terminal.json	655	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
input/examples/encounter-cancer-diagnosis.json	1277	1	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
input/examples/encounter-oncologist-participant.json	1484	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
input/examples/medicationdispense-ambulatory-opioid.json	1279	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
input/examples/medicationrequest-ambulatory-opioid.json	1614	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
input/examples/medicationrequest-example-opioidcds.json	2136	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
input/examples/observation-example-opioidcds.json	1213	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
input/examples/patient-example-opioidcds.json	1054	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
input/examples/practitionerrole-oncology-specialist.json	338	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0
