"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ATTESTATION","ATTESTATION","","","",0,*,"","","","null {[]} {[]}
","Record an attestation of a party (the committer) to item(s) of record content.","Record an attestation of a party (the committer) to item(s) of record content. An attestation is an explicit signing by one healthcare agent of particular content for various particular purposes, including:

* for authorisation of a controlled substance or procedure (e.g. sectioning of patient under mental health act); 
* witnessing of content by senior clinical professional; 
* indicating acknowledgement of content by intended recipient, e.g. GP who ordered a test result. 
","","","","","","","","","",,,,,"",,,,"Base",0,*,"","System_id_valid:System id valid must not be empty {system_id.empty().not()}
Change_type_valid:Change type valid {null # TODO: manual translation needed}Items_valid:Items valid must be present {items.exists() implies items.empty().not()}Reason_valid:Reason valid must satisfy conditional constraints {null # TODO: manual translation needed}","n/a"
"ATTESTATION.system-id","ATTESTATION.system_id","","","",1,1,"","","","string {[]} {[]}
","Identifier of the logical EHR system where the change was committed.","Identifier of the logical EHR system where the change was committed. This is almost always owned by the organisation legally responsible for the EHR, and is distinct from any application, or any hosting infrastructure.","","","","","","","","","",,,,,"",,,,"AUDIT_DETAILS.system_id",1,1,"",""
"ATTESTATION.time-committed","ATTESTATION.time_committed","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-DATE-TIME {[]} {[]}
","Time of committal of the item.","Time of committal of the item.","","","","","","","","","",,,,,"",,,,"AUDIT_DETAILS.time_committed",1,1,"",""
"ATTESTATION.change-type","ATTESTATION.change_type","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-CODED-TEXT {[]} {[]}
","Type of change.","Type of change. Coded using the openEHR Terminology  audit change type  group.","","","","","","","","","",,,,,"",,,,"AUDIT_DETAILS.change_type",1,1,"",""
"ATTESTATION.description","ATTESTATION.description","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-TEXT {[]} {[]}
","Reason for committal.","Reason for committal. This may be used to qualify the value in the `_change_type_` field. For example, if the change affects only the EHR directory, this field might be used to indicate 'Folder ""episode 2018-02-16"" added' or similar.","","","","","","","","","",,,,,"",,,,"AUDIT_DETAILS.description",0,1,"",""
"ATTESTATION.committer","ATTESTATION.committer","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/PARTY-PROXY {[]} {[]}
","Identity and optional reference into identity management service, of user who committed the item.","Identity and optional reference into identity management service, of user who committed the item.","","","","","","","","","",,,,,"",,,,"AUDIT_DETAILS.committer",1,1,"",""
"ATTESTATION.attested-view","ATTESTATION.attested_view","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-MULTIMEDIA {[]} {[]}
","Optional visual representation of content attested e.","Optional visual representation of content attested e.g. screen image.","","","","","","","","","",,,,,"",,,,"ATTESTATION.attested_view",0,1,"",""
"ATTESTATION.proof","ATTESTATION.proof","","","",0,1,"","","","string {[]} {[]}
","Proof of attestation.","Proof of attestation.","","","","","","","","","",,,,,"",,,,"ATTESTATION.proof",0,1,"",""
"ATTESTATION.items","ATTESTATION.items","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/DV-EHR-URI {[]} {[]}
","Items attested, expressed as fully qualified runtime paths to the items in question.","Items attested, expressed as fully qualified runtime paths to the items in question. Although not recommended, these may include fine-grained items which have been attested in some other system. Otherwise it is assumed to be for the entire VERSION with which it is associated.","","","","","","","","","",,,,,"",,,,"ATTESTATION.items",0,*,"",""
"ATTESTATION.reason","ATTESTATION.reason","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-TEXT {[]} {[]}
","Reason of this attestation.","Reason of this attestation. Optionally coded by the openEHR Terminology group  attestation reason ; includes values like  authorisation ,  witness  etc.","","","","","","","","","",,,,,"",,,,"ATTESTATION.reason",1,1,"",""
"ATTESTATION.is-pending","ATTESTATION.is_pending","","","",1,1,"","","","boolean {[]} {[]}
","True if this attestation is outstanding; False means it has been completed.","True if this attestation is outstanding; False means it has been completed.","","","","","","","","","",,,,,"",,,,"ATTESTATION.is_pending",1,1,"",""
