"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EXTRACT","EXTRACT","","","",0,*,"","","","null {[]} {[]}
","Generic model of an Extract of some information from a repository.","Generic model of an Extract of some information from a repository.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","Links_valid:Links valid must be present {links.exists() implies links.empty().not()}
Archetyped_valid:Archetyped valid must satisfy exclusive conditions {is_archetype_root() xor archetype_details .empty()}Archetype_node_id_valid:Archetype node id valid must not be empty {archetype_node_id.empty().not()}Sequence_nr_valid:Sequence nr valid must satisfy range constraints {null # TODO: manual translation needed}","n/a"
"EXTRACT.name","EXTRACT.name","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-TEXT {[]} {[]}
","Runtime name of this fragment, used to build runtime paths.","Runtime name of this fragment, used to build runtime paths. This is the term provided via a clinical application or batch process to name this EHR construct: its retention in the EHR faithfully preserves the original label by which this entry was known to end users.","","","","","","","","","",,,,,"",,,,"LOCATABLE.name",1,1,"",""
"EXTRACT.archetype-node-id","EXTRACT.archetype_node_id","","","",1,1,"","","","string {[]} {[]}
","Design-time archetype identifier of this node taken from its generating archetype; used to build archetype paths.","Design-time archetype identifier of this node taken from its generating archetype; used to build archetype paths. Always in the form of an at-code, e.g.  `at0005`. This value enables a 'standardised' name for this node to be generated, by referring to the generating archetype local terminology. 

At an archetype root point, the value of this attribute is always the stringified form of the `_archetype_id_` found in the `_archetype_details_` object.","","","","","","","","","",,,,,"",,,,"LOCATABLE.archetype_node_id",1,1,"",""
"EXTRACT.uid","EXTRACT.uid","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/UID-BASED-ID {[]} {[]}
","Optional globally unique object identifier for root points of archetyped structures.","Optional globally unique object identifier for root points of archetyped structures.","","","","","","","","","",,,,,"",,,,"LOCATABLE.uid",0,1,"",""
"EXTRACT.links","EXTRACT.links","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/LINK {[]} {[]}
","Links to other archetyped structures (data whose root object inherits from `ARCHETYPED`, such as `ENTRY`, `SECTION` and so on).","Links to other archetyped structures (data whose root object inherits from `ARCHETYPED`, such as `ENTRY`, `SECTION` and so on). Links may be to structures in other compositions.","","","","","","","","","",,,,,"",,,,"LOCATABLE.links",0,*,"",""
"EXTRACT.archetype-details","EXTRACT.archetype_details","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/ARCHETYPED {[]} {[]}
","Details of archetyping used on this node.","Details of archetyping used on this node.","","","","","","","","","",,,,,"",,,,"LOCATABLE.archetype_details",0,1,"",""
"EXTRACT.feeder-audit","EXTRACT.feeder_audit","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/FEEDER-AUDIT {[]} {[]}
","Audit trail from non-openEHR system of original commit of information forming the content of this node, or from a conversion gateway which has synthesised this node.","Audit trail from non-openEHR system of original commit of information forming the content of this node, or from a conversion gateway which has synthesised this node.","","","","","","","","","",,,,,"",,,,"LOCATABLE.feeder_audit",0,1,"",""
"EXTRACT.chapters","EXTRACT.chapters","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/EXTRACT-CHAPTER {[]} {[]}
","The content extracted and serialised from the source repository for this Extract.","The content extracted and serialised from the source repository for this Extract.","","","","","","","","","",,,,,"",,,,"EXTRACT.chapters",0,*,"",""
"EXTRACT.specification","EXTRACT.specification","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/EXTRACT-SPEC {[]} {[]}
","The specification that this Extract actually conforms to; might not be identical with the specification of the corresponding request.","The specification that this Extract actually conforms to; might not be identical with the specification of the corresponding request.","","","","","","","","","",,,,,"",,,,"EXTRACT.specification",0,1,"",""
"EXTRACT.request-id","EXTRACT.request_id","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/HIER-OBJECT-ID {[]} {[]}
","Reference to causing Request, if any.","Reference to causing Request, if any.","","","","","","","","","",,,,,"",,,,"EXTRACT.request_id",0,1,"",""
"EXTRACT.time-created","EXTRACT.time_created","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-DATE-TIME {[]} {[]}
","Creation time of this Extract","Creation time of this Extract","","","","","","","","","",,,,,"",,,,"EXTRACT.time_created",1,1,"",""
"EXTRACT.system-id","EXTRACT.system_id","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/HIER-OBJECT-ID {[]} {[]}
","Identifier of creating system.","Identifier of creating system.","","","","","","","","","",,,,,"",,,,"EXTRACT.system_id",1,1,"",""
"EXTRACT.sequence-nr","EXTRACT.sequence_nr","","","",1,1,"","","","integer {[]} {[]}
","Number of this Extract response in sequence of responses to Extract request identified by `_request_id_`.","Number of this Extract response in sequence of responses to Extract request identified by `_request_id_`. If this is the sole response, or there was no request, value is 1.","","","","","","","","","",,,,,"",,,,"EXTRACT.sequence_nr",1,1,"",""
"EXTRACT.participations","EXTRACT.participations","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/EXTRACT-PARTICIPATION {[]} {[]}
","Participations relevant to the creation of this Extract.","Participations relevant to the creation of this Extract.","","","","","","","","","",,,,,"",,,,"EXTRACT.participations",0,*,"",""
