"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HISTORY","HISTORY","","","",0,*,"","","","null {[]} {[]}
","Root object of a linear history, i.","Root object of a linear history, i.e. time series structure. This is a generic class whose type parameter must be a descendant of `ITEM_STRUCTURE`, ensuring that each Event in the `_events_` of a given instance is of the same structural type, i.e. `ITEM_TREE`, `ITEM_LIST` etc.

For a periodic series of events, period will be set, and the time of each Event in the History must correspond; i.e. the `EVENT._offset_` must be a multiple of period for each Event. Missing events in a period History are however allowed. ","","","","","","","","","",,,,,"",,,,"Base",0,*,"","Links_valid:Links valid must be present {links.exists() implies links.empty().not()}
Archetyped_valid:Archetyped valid must satisfy exclusive conditions {is_archetype_root() xor archetype_details .empty()}Archetype_node_id_valid:Archetype node id valid must not be empty {archetype_node_id.empty().not()}Events_valid:Events valid must be present {(events.exists() and then events.empty().not()) or summary.exists()}Periodic_validity:Periodic validity must satisfy exclusive conditions {is_periodic() xor period .empty()}Period_consistency:Period consistency must satisfy conditional constraints {is_periodic() implies events.for_all (e: EVENT | e.offset. to_seconds.mod(period.to_seconds) = 0)}","n/a"
"HISTORY.name","HISTORY.name","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-TEXT {[]} {[]}
","Runtime name of this fragment, used to build runtime paths.","Runtime name of this fragment, used to build runtime paths. This is the term provided via a clinical application or batch process to name this EHR construct: its retention in the EHR faithfully preserves the original label by which this entry was known to end users.","","","","","","","","","",,,,,"",,,,"LOCATABLE.name",1,1,"",""
"HISTORY.archetype-node-id","HISTORY.archetype_node_id","","","",1,1,"","","","string {[]} {[]}
","Design-time archetype identifier of this node taken from its generating archetype; used to build archetype paths.","Design-time archetype identifier of this node taken from its generating archetype; used to build archetype paths. Always in the form of an at-code, e.g.  `at0005`. This value enables a 'standardised' name for this node to be generated, by referring to the generating archetype local terminology. 

At an archetype root point, the value of this attribute is always the stringified form of the `_archetype_id_` found in the `_archetype_details_` object.","","","","","","","","","",,,,,"",,,,"LOCATABLE.archetype_node_id",1,1,"",""
"HISTORY.uid","HISTORY.uid","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/UID-BASED-ID {[]} {[]}
","Optional globally unique object identifier for root points of archetyped structures.","Optional globally unique object identifier for root points of archetyped structures.","","","","","","","","","",,,,,"",,,,"LOCATABLE.uid",0,1,"",""
"HISTORY.links","HISTORY.links","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/LINK {[]} {[]}
","Links to other archetyped structures (data whose root object inherits from `ARCHETYPED`, such as `ENTRY`, `SECTION` and so on).","Links to other archetyped structures (data whose root object inherits from `ARCHETYPED`, such as `ENTRY`, `SECTION` and so on). Links may be to structures in other compositions.","","","","","","","","","",,,,,"",,,,"LOCATABLE.links",0,*,"",""
"HISTORY.archetype-details","HISTORY.archetype_details","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/ARCHETYPED {[]} {[]}
","Details of archetyping used on this node.","Details of archetyping used on this node.","","","","","","","","","",,,,,"",,,,"LOCATABLE.archetype_details",0,1,"",""
"HISTORY.feeder-audit","HISTORY.feeder_audit","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/FEEDER-AUDIT {[]} {[]}
","Audit trail from non-openEHR system of original commit of information forming the content of this node, or from a conversion gateway which has synthesised this node.","Audit trail from non-openEHR system of original commit of information forming the content of this node, or from a conversion gateway which has synthesised this node.","","","","","","","","","",,,,,"",,,,"LOCATABLE.feeder_audit",0,1,"",""
"HISTORY.origin","HISTORY.origin","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-DATE-TIME {[]} {[]}
","Time origin of this event history.","Time origin of this event history. The first event is not necessarily at the origin point.","","","","","","","","","",,,,,"",,,,"HISTORY.origin",1,1,"",""
"HISTORY.period","HISTORY.period","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-DURATION {[]} {[]}
","Period between samples in this segment if periodic.","Period between samples in this segment if periodic.","","","","","","","","","",,,,,"",,,,"HISTORY.period",0,1,"",""
"HISTORY.duration","HISTORY.duration","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-DURATION {[]} {[]}
","Duration of the entire History; either corresponds to the duration of all the events, and/or the duration represented by the summary, if it exists.","Duration of the entire History; either corresponds to the duration of all the events, and/or the duration represented by the summary, if it exists.","","","","","","","","","",,,,,"",,,,"HISTORY.duration",0,1,"",""
"HISTORY.summary","HISTORY.summary","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/ITEM-STRUCTURE {[]} {[]}
","Optional summary data that aggregates, organizes, reduces and transforms the event series.","Optional summary data that aggregates, organizes, reduces and transforms the event series. This may be a text or image that presents a graphical presentation, or some data that assists with the interpretation of the data.","","","","","","","","","",,,,,"",,,,"HISTORY.summary",0,1,"",""
"HISTORY.events","HISTORY.events","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/EVENT {[]} {[]}
","The events in the series.","The events in the series. This attribute is of a generic type whose parameter must be a descendant of `ITEM_SUTRUCTURE`.","","","","","","","","","",,,,,"",,,,"HISTORY.events",0,*,"",""
