"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"INTERVAL_EVENT","INTERVAL_EVENT","","","",0,*,"","","","null {[]} {[]}
","Defines a single interval event in a series.","Defines a single interval event in a series. ","","","","","","","","","",,,,,"",,,,"Base",0,*,"","Links_valid:Links valid must be present {links.exists() implies links.empty().not()}
Archetyped_valid:Archetyped valid must satisfy exclusive conditions {is_archetype_root() xor archetype_details .empty()}Archetype_node_id_valid:Archetype node id valid must not be empty {archetype_node_id.empty().not()}Offset_validity:Offset validity {null # TODO: manual translation needed}Offset_validity1:Offset validity1 must be present {offset().exists() and then offset() = time.diff (parent().origin)}Math_function_validity:Math function validity {null # TODO: manual translation needed}Interval_start_time_valid:Interval start time valid {interval_start_time() = time - width}","n/a"
"INTERVAL_EVENT.name","INTERVAL_EVENT.name","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-TEXT {[]} {[]}
","Runtime name of this fragment, used to build runtime paths.","Runtime name of this fragment, used to build runtime paths. This is the term provided via a clinical application or batch process to name this EHR construct: its retention in the EHR faithfully preserves the original label by which this entry was known to end users.","","","","","","","","","",,,,,"",,,,"LOCATABLE.name",1,1,"",""
"INTERVAL_EVENT.archetype-node-id","INTERVAL_EVENT.archetype_node_id","","","",1,1,"","","","string {[]} {[]}
","Design-time archetype identifier of this node taken from its generating archetype; used to build archetype paths.","Design-time archetype identifier of this node taken from its generating archetype; used to build archetype paths. Always in the form of an at-code, e.g.  `at0005`. This value enables a 'standardised' name for this node to be generated, by referring to the generating archetype local terminology. 

At an archetype root point, the value of this attribute is always the stringified form of the `_archetype_id_` found in the `_archetype_details_` object.","","","","","","","","","",,,,,"",,,,"LOCATABLE.archetype_node_id",1,1,"",""
"INTERVAL_EVENT.uid","INTERVAL_EVENT.uid","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/UID-BASED-ID {[]} {[]}
","Optional globally unique object identifier for root points of archetyped structures.","Optional globally unique object identifier for root points of archetyped structures.","","","","","","","","","",,,,,"",,,,"LOCATABLE.uid",0,1,"",""
"INTERVAL_EVENT.links","INTERVAL_EVENT.links","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/LINK {[]} {[]}
","Links to other archetyped structures (data whose root object inherits from `ARCHETYPED`, such as `ENTRY`, `SECTION` and so on).","Links to other archetyped structures (data whose root object inherits from `ARCHETYPED`, such as `ENTRY`, `SECTION` and so on). Links may be to structures in other compositions.","","","","","","","","","",,,,,"",,,,"LOCATABLE.links",0,*,"",""
"INTERVAL_EVENT.archetype-details","INTERVAL_EVENT.archetype_details","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/ARCHETYPED {[]} {[]}
","Details of archetyping used on this node.","Details of archetyping used on this node.","","","","","","","","","",,,,,"",,,,"LOCATABLE.archetype_details",0,1,"",""
"INTERVAL_EVENT.feeder-audit","INTERVAL_EVENT.feeder_audit","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/FEEDER-AUDIT {[]} {[]}
","Audit trail from non-openEHR system of original commit of information forming the content of this node, or from a conversion gateway which has synthesised this node.","Audit trail from non-openEHR system of original commit of information forming the content of this node, or from a conversion gateway which has synthesised this node.","","","","","","","","","",,,,,"",,,,"LOCATABLE.feeder_audit",0,1,"",""
"INTERVAL_EVENT.time","INTERVAL_EVENT.time","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-DATE-TIME {[]} {[]}
","Time of this event.","Time of this event. If the width is non-zero, it is the time point of the trailing edge of the event.","","","","","","","","","",,,,,"",,,,"EVENT.time",1,1,"",""
"INTERVAL_EVENT.state","INTERVAL_EVENT.state","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/ITEM-STRUCTURE {[]} {[]}
","Optional state data for this event.","Optional state data for this event.","","","","","","","","","",,,,,"",,,,"EVENT.state",0,1,"",""
"INTERVAL_EVENT.data","INTERVAL_EVENT.data","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/T {[]} {[]}
","The data of this event.","The data of this event.","","","","","","","","","",,,,,"",,,,"EVENT.data",1,1,"",""
"INTERVAL_EVENT.width","INTERVAL_EVENT.width","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-DURATION {[]} {[]}
","Duration of the time interval during which the values recorded under `data` are true and, if set, the values recorded under `state` are true.","Duration of the time interval during which the values recorded under `data` are true and, if set, the values recorded under `state` are true. Void if an instantaneous event.","","","","","","","","","",,,,,"",,,,"INTERVAL_EVENT.width",1,1,"",""
"INTERVAL_EVENT.sample-count","INTERVAL_EVENT.sample_count","","","",0,1,"","","","integer {[]} {[]}
","Optional count of original samples to which this event corresponds.","Optional count of original samples to which this event corresponds.","","","","","","","","","",,,,,"",,,,"INTERVAL_EVENT.sample_count",0,1,"",""
