"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"PARTY_RELATIONSHIP","PARTY_RELATIONSHIP","","","",0,*,"","","","null {[]} {[]}
","Generic description of a relationship between parties.","Generic description of a relationship between parties.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","Links_valid:Links valid must be present {links.exists() implies links.empty().not()}
Archetyped_valid:Archetyped valid must satisfy exclusive conditions {is_archetype_root() xor archetype_details .empty()}Archetype_node_id_valid:Archetype node id valid must not be empty {archetype_node_id.empty().not()}Source_valid:Source valid must be present {source.exists() and then source.relationships.has (self)}Target_valid:Target valid must be present {target.exists() and then target.not().reverse_relationships.has (self)}Type_validity:Type validity {type() = name}","n/a"
"PARTY_RELATIONSHIP.name","PARTY_RELATIONSHIP.name","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-TEXT {[]} {[]}
","Runtime name of this fragment, used to build runtime paths.","Runtime name of this fragment, used to build runtime paths. This is the term provided via a clinical application or batch process to name this EHR construct: its retention in the EHR faithfully preserves the original label by which this entry was known to end users.","","","","","","","","","",,,,,"",,,,"LOCATABLE.name",1,1,"",""
"PARTY_RELATIONSHIP.archetype-node-id","PARTY_RELATIONSHIP.archetype_node_id","","","",1,1,"","","","string {[]} {[]}
","Design-time archetype identifier of this node taken from its generating archetype; used to build archetype paths.","Design-time archetype identifier of this node taken from its generating archetype; used to build archetype paths. Always in the form of an at-code, e.g.  `at0005`. This value enables a 'standardised' name for this node to be generated, by referring to the generating archetype local terminology. 

At an archetype root point, the value of this attribute is always the stringified form of the `_archetype_id_` found in the `_archetype_details_` object.","","","","","","","","","",,,,,"",,,,"LOCATABLE.archetype_node_id",1,1,"",""
"PARTY_RELATIONSHIP.uid","PARTY_RELATIONSHIP.uid","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/UID-BASED-ID {[]} {[]}
","Optional globally unique object identifier for root points of archetyped structures.","Optional globally unique object identifier for root points of archetyped structures.","","","","","","","","","",,,,,"",,,,"LOCATABLE.uid",0,1,"",""
"PARTY_RELATIONSHIP.links","PARTY_RELATIONSHIP.links","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/LINK {[]} {[]}
","Links to other archetyped structures (data whose root object inherits from `ARCHETYPED`, such as `ENTRY`, `SECTION` and so on).","Links to other archetyped structures (data whose root object inherits from `ARCHETYPED`, such as `ENTRY`, `SECTION` and so on). Links may be to structures in other compositions.","","","","","","","","","",,,,,"",,,,"LOCATABLE.links",0,*,"",""
"PARTY_RELATIONSHIP.archetype-details","PARTY_RELATIONSHIP.archetype_details","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/ARCHETYPED {[]} {[]}
","Details of archetyping used on this node.","Details of archetyping used on this node.","","","","","","","","","",,,,,"",,,,"LOCATABLE.archetype_details",0,1,"",""
"PARTY_RELATIONSHIP.feeder-audit","PARTY_RELATIONSHIP.feeder_audit","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/FEEDER-AUDIT {[]} {[]}
","Audit trail from non-openEHR system of original commit of information forming the content of this node, or from a conversion gateway which has synthesised this node.","Audit trail from non-openEHR system of original commit of information forming the content of this node, or from a conversion gateway which has synthesised this node.","","","","","","","","","",,,,,"",,,,"LOCATABLE.feeder_audit",0,1,"",""
"PARTY_RELATIONSHIP.details","PARTY_RELATIONSHIP.details","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/ITEM-STRUCTURE {[]} {[]}
","The detailed description of the relationship.","The detailed description of the relationship.","","","","","","","","","",,,,,"",,,,"PARTY_RELATIONSHIP.details",0,1,"",""
"PARTY_RELATIONSHIP.target","PARTY_RELATIONSHIP.target","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/PARTY-REF {[]} {[]}
","Target of relationship.","Target of relationship.","","","","","","","","","",,,,,"",,,,"PARTY_RELATIONSHIP.target",1,1,"",""
"PARTY_RELATIONSHIP.time-validity","PARTY_RELATIONSHIP.time_validity","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-INTERVAL {[]} {[]}
","Valid time interval for this relationship.","Valid time interval for this relationship.","","","","","","","","","",,,,,"",,,,"PARTY_RELATIONSHIP.time_validity",0,1,"",""
"PARTY_RELATIONSHIP.source","PARTY_RELATIONSHIP.source","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/PARTY-REF {[]} {[]}
","Source of relationship.","Source of relationship.","","","","","","","","","",,,,,"",,,,"PARTY_RELATIONSHIP.source",1,1,"",""
