"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"WebTemplateItem","WebTemplateItem","","","",0,*,"","","","null {[]} {[]}
","The grouping variant of ITEM, which may contain further instances of ITEM, in an ordered list","The grouping variant of ITEM, which may contain further instances of ITEM, in an ordered list.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"WebTemplateItem.id","WebTemplateItem.id","","","",1,1,"","","","string {[]} {[]}
","Node ID (this ID is needed when input data is converted to a composition)","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.id",1,1,"",""
"WebTemplateItem.depth","WebTemplateItem.depth","","","",0,1,"","","","integer {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.depth",0,1,"",""
"WebTemplateItem.name","WebTemplateItem.name","","","",0,1,"","","","string {[]} {[]}
","Default node name","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.name",0,1,"",""
"WebTemplateItem.localizedName","WebTemplateItem.localizedName","","","",0,1,"","","","string {[]} {[]}
","Node name in the default language","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.localizedName",0,1,"",""
"WebTemplateItem.rmType","WebTemplateItem.rmType","","","",1,1,"","","","code {[]} {[]}
","Reference Model class name for this node","","","","","","","","","","",,"required","","https://specifications.openehr.org/fhir/valueset-item-rmtype","",,,,"WebTemplateItem.rmType",1,1,"",""
"WebTemplateItem.nodeId","WebTemplateItem.nodeId","","","",0,1,"","","","string {[]} {[]}
","Archetype node id as either a full openEHR-EHR-xxxxx archetype id or just an at-code","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.nodeId",0,1,"",""
"WebTemplateItem.min","WebTemplateItem.min","","","",1,1,"","","","string {[]} {[]}
","Minimal value of occurrences for this node (this node has to appear at least this many times)","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.min",1,1,"",""
"WebTemplateItem.max","WebTemplateItem.max","","","",1,1,"","","","string {[]} {[]}
","Maximal value of occurrences for this node or -1 if unlimited. When converting to a composition this node should not appear more than this many times.","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.max",1,1,"",""
"WebTemplateItem.dependsOn","WebTemplateItem.dependsOn","","","",1,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.dependsOn",1,1,"",""
"WebTemplateItem.localizedNames","WebTemplateItem.localizedNames","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/TranslatedString {[]} {[]}
","Map with labels in additional languages","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.localizedNames",0,*,"",""
"WebTemplateItem.localizedDescriptions","WebTemplateItem.localizedDescriptions","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/TranslatedString {[]} {[]}
","Map with element descriptions","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.localizedDescriptions",0,*,"",""
"WebTemplateItem.annotations","WebTemplateItem.annotations","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/Annotations {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.annotations",0,1,"",""
"WebTemplateItem.archetype-id","WebTemplateItem.archetype_id","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.archetype_id",0,1,"",""
"WebTemplateItem.aqlPath","WebTemplateItem.aqlPath","","","",1,1,"","","","string {[]} {[]}
","AQL (or RM) path to this node. Such paths can be used in AQLs","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.aqlPath",1,1,"",""
"WebTemplateItem.custodian-namespace","WebTemplateItem.custodian_namespace","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.custodian_namespace",0,1,"",""
"WebTemplateItem.custodian-organisation","WebTemplateItem.custodian_organisation","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.custodian_organisation",0,1,"",""
"WebTemplateItem.lifecycleState","WebTemplateItem.lifecycleState","","","",0,1,"","","","code {[]} {[]}
","todo","","","","","","","","","","",,"required","","https://specifications.openehr.org/fhir/valueset-item-lifecyclestate","",,,,"WebTemplateItem.lifecycleState",0,1,"",""
"WebTemplateItem.original-namespace","WebTemplateItem.original_namespace","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.original_namespace",0,1,"",""
"WebTemplateItem.original-publisher","WebTemplateItem.original_publisher","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.original_publisher",0,1,"",""
"WebTemplateItem.proportionTypes","WebTemplateItem.proportionTypes","","","",0,1,"","","","code {[]} {[]}
","todo","","","","","","","","","","",,"required","","https://specifications.openehr.org/fhir/valueset-item-proportiontype","",,,,"WebTemplateItem.proportionTypes",0,1,"",""
"WebTemplateItem.revision","WebTemplateItem.revision","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.revision",0,1,"",""
"WebTemplateItem.inContext","WebTemplateItem.inContext","","","",0,1,"","","","boolean {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.inContext",0,1,"",""
"WebTemplateItem.inputs","WebTemplateItem.inputs","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/WebTemplateInput {[]} {[]}
","Used for creating input fields. the inputs are determined by the attributes for a particular datatype","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.inputs",0,*,"",""
"WebTemplateItem.termBindings","WebTemplateItem.termBindings","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/WebTemplateTermBinding {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.termBindings",0,*,"",""
"WebTemplateItem.children","WebTemplateItem.children","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/WebTemplateItem {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.children",0,*,"",""
