"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"property","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","OpenEHR Property definition","OpenEHR Property definition - what kind of thing a quantity is about.","","","","","","","","","",,,,,"",,,,"Extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"property","Extension.id","Extension.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"property","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"property","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://openehr.org/fhir/StructureDefinition/property""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"property","Extension.value[x]","Extension.value[x]","","","",1,1,"","","","Coding {[]} {[]}
","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R5/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"ext-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Annotations","Annotations","Annotations","","","",0,*,"","","","null {[]} {[]}
","todo","Base definition for all types defined in FHIR type system.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Annotations","Annotations.comment","Annotations.comment","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"Annotations.comment",0,1,"",""
"Annotations","Annotations.fhir-mapping","Annotations.fhir_mapping","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"Annotations.fhir_mapping",0,1,"",""
"Annotations","Annotations.vset-description","Annotations.vset_description","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"Annotations.vset_description",0,1,"",""
"Annotations","Annotations.hl7v2-mapping","Annotations.hl7v2_mapping","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"Annotations.hl7v2_mapping",0,1,"",""
"Annotations","Annotations.visibleInView","Annotations.visibleInView","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"Annotations.visibleInView",0,1,"",""
"TranslatedString","TranslatedString","TranslatedString","","","",0,*,"","","","null {[]} {[]}
","The grouping variant of ITEM, which may contain further instances of ITEM, in an ordered list","The grouping variant of ITEM, which may contain further instances of ITEM, in an ordered list.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"TranslatedString","TranslatedString.language","TranslatedString.language","","","",1,1,"","","","code {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"TranslatedString.language",1,1,"",""
"TranslatedString","TranslatedString.value","TranslatedString.value","","","",1,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"TranslatedString.value",1,1,"",""
"WebTemplate","WebTemplate","WebTemplate","","","",0,*,"","","","null {[]} {[]}
","The grouping variant of ITEM, which may contain further instances of ITEM, in an ordered list","The grouping variant of ITEM, which may contain further instances of ITEM, in an ordered list.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"WebTemplate","WebTemplate.templateId","WebTemplate.templateId","","","",1,1,"","","","string {[]} {[]}
","Operational template ID","","","","","","","","","","",,,,,"",,,,"WebTemplate.templateId",1,1,"",""
"WebTemplate","WebTemplate.version","WebTemplate.version","","","",1,1,"","","","string {[]} {[]}
","Web template structure version","","","","","","","","","","",,,,,"",,,,"WebTemplate.version",1,1,"",""
"WebTemplate","WebTemplate.semver","WebTemplate.semver","","","",0,1,"","","","string {[]} {[]}
","The semantic version number of the openEHR template","","","","","","","","","","",,,,,"",,,,"WebTemplate.semver",0,1,"",""
"WebTemplate","WebTemplate.defaultLanguage","WebTemplate.defaultLanguage","","","",1,1,"","","","string {[]} {[]}
","Default labels for fields will be in this language","","","","","","","","","","",,,,,"",,,,"WebTemplate.defaultLanguage",1,1,"",""
"WebTemplate","WebTemplate.languages","WebTemplate.languages","","","",0,*,"","","","string {[]} {[]}
","Array of additional languages. Labels for fields and coded texts will also be available in these additional languages, provided that the operational template has them","","","","","","","","","","",,,,,"",,,,"WebTemplate.languages",0,*,"",""
"WebTemplate","WebTemplate.tree","WebTemplate.tree","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/WebTemplateItem {[]} {[]}
","Hierarchical structure of nodes each one potentially having further children","","","","","","","","","","",,,,,"",,,,"WebTemplate.tree",1,1,"",""
"WebTemplateInput","WebTemplateInput","WebTemplateInput","","","",0,*,"","","","null {[]} {[]}
","todo","Base definition for all types defined in FHIR type system.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"WebTemplateInput","WebTemplateInput.suffix","WebTemplateInput.suffix","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInput.suffix",0,1,"",""
"WebTemplateInput","WebTemplateInput.type","WebTemplateInput.type","","","",1,1,"","","","code {[]} {[]}
","todo","","","","","","","","","","",,"required","","https://specifications.openehr.org/fhir/valueset-input-type","",,,,"WebTemplateInput.type",1,1,"",""
"WebTemplateInput","WebTemplateInput.defaultValue","WebTemplateInput.defaultValue","","","",1,1,"","","","string {[]} {[]}
integer {[]} {[]}decimal {[]} {[]}boolean {[]} {[]}","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInput.defaultValue",1,1,"",""
"WebTemplateInput","WebTemplateInput.terminology","WebTemplateInput.terminology","","","",0,1,"","","","code {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInput.terminology",0,1,"",""
"WebTemplateInput","WebTemplateInput.validation","WebTemplateInput.validation","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/WebTemplateInputValidation {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInput.validation",0,1,"",""
"WebTemplateInput","WebTemplateInput.list","WebTemplateInput.list","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/WebTemplateInputListItem {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInput.list",0,*,"",""
"WebTemplateInput","WebTemplateInput.listOpen","WebTemplateInput.listOpen","","","",0,1,"","","","boolean {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInput.listOpen",0,1,"",""
"WebTemplateInputListItem","WebTemplateInputListItem","WebTemplateInputListItem","","","",0,*,"","","","null {[]} {[]}
","todo","Base definition for all types defined in FHIR type system.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"WebTemplateInputListItem","WebTemplateInputListItem.value","WebTemplateInputListItem.value","","","",1,1,"","","","code {[]} {[]}
","at-code of the specified item","","","","","","","","","","",,,,,"",,,,"WebTemplateInputListItem.value",1,1,"",""
"WebTemplateInputListItem","WebTemplateInputListItem.label","WebTemplateInputListItem.label","","","",0,1,"","","","string {[]} {[]}
","label of the item in the default language","","","","","","","","","","",,,,,"",,,,"WebTemplateInputListItem.label",0,1,"",""
"WebTemplateInputListItem","WebTemplateInputListItem.ordinal","WebTemplateInputListItem.ordinal","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInputListItem.ordinal",0,1,"",""
"WebTemplateInputListItem","WebTemplateInputListItem.localizedLabels","WebTemplateInputListItem.localizedLabels","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/TranslatedString {[]} {[]}
","labels in all specified languages","","","","","","","","","","",,,,,"",,,,"WebTemplateInputListItem.localizedLabels",0,*,"",""
"WebTemplateInputListItem","WebTemplateInputListItem.localizedDescriptions","WebTemplateInputListItem.localizedDescriptions","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/TranslatedString {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInputListItem.localizedDescriptions",0,*,"",""
